
[32;1m NPM(K)    PM(M)      WS(M)     CPU(s)      Id  SI ProcessName[0m
[32;1m ------    -----      -----     ------      --  -- -----------[0m
     42     3.05       6.80       0.00     776   1 csrss
     31    37.25      80.20      87.52    7320   1 ctfmon
     18     4.29      11.62       0.00    3176   0 dasHost
      9     2.43       6.28       0.00   15072   0 DbxSvc
      6     1.36       4.19       0.20     700   1 dptf_helper
     15     3.20      13.02       0.11    4196   1 Dropbox
     14     2.72       9.86       0.05   14180   1 Dropbox
    147   212.80     171.98      71.41   14612   1 Dropbox
     14     2.14       1.82       0.00    3084   0 DropboxUpdate
     52   104.11      79.73       0.00    1232   1 dwm
      8     1.79       6.11       0.00    4180   0 esif_uf
    163   146.42     415.33     186.55    7632   1 explorer
      9     5.47      12.25       0.00       8   1 fontdrvhost
      6     2.02       3.18       0.00     752   0 fontdrvhost
     11     1.82       1.52       0.00    9432   0 GoogleCrashHandler
     10     1.86       1.34       0.00    9676   0 GoogleCrashHandler64
      0     0.06       0.01       0.00       0   0 Idle
     10     1.75       8.44       0.00    1632   0 igfxCUIService
     15     3.59      12.99       0.69    3216   1 igfxEM
      8     1.36       6.87       0.00    1668   0 IntelCpHDCPSvc
      7     1.40       6.62       0.00    1988   0 IntelCpHeciSvc
      9     1.29       6.02       0.00    5008   0 jhi_service
     27    15.41      49.04       1.75    9772   1 LockApp
     13     4.36       9.82      11.25   10984   1 LogMeTT
      7     1.06       2.82       0.00     920   0 LsaIso
     27     8.08      21.05       0.00     928   0 lsass
      0     1.97     740.38       0.00    2940   0 Memory Compression
     44    50.68      55.48       4.56   11756   1 Microsoft.Photos
      7     1.88       6.55       0.00   12784   0 MpCopyAccelerator
     85   335.16     223.51       0.00    4396   0 MsMpEng
     14     5.95      11.84       0.00    5432   0 NisSrv
    138    50.55      48.51      18.53    5496   1 node
     46    47.11      59.65      40.80   10404   1 node
     32    41.41      39.28       0.00    4244   0 OneApp.IGCC.WinService
     47    40.98      65.44      15.39   10448   1 OneDrive
     70    51.34      90.52       5.89     416   1 pwsh
     66    48.77      57.74       4.39   13000   1 pwsh
     71    54.64     104.03       5.64   18076   1 pwsh
     29    32.69      33.43       1.22    4264   1 QtWebEngineProcess
     35    42.18      48.09       3.16   16308   1 QtWebEngineProcess
     21    12.59      40.55       0.00     108   0 Registry
     20    97.89      15.91       3.75   16244   1 ruby
     13     2.96      18.43       0.23    2424   1 RuntimeBroker
     12     2.92      18.45       0.20    4916   1 RuntimeBroker
     15     4.90      16.83       0.28    6004   1 RuntimeBroker
     23     8.54      28.43       7.38    6140   1 RuntimeBroker
     12     2.71      13.04       0.19    6920   1 RuntimeBroker
     22    14.04      38.20       4.09    8772   1 RuntimeBroker
     20     4.76      25.83       0.66    8928   1 RuntimeBroker
     18     6.48      25.39       3.97    8956   1 RuntimeBroker
     24     9.58      33.39       2.67    9844   1 RuntimeBroker
     15     4.01      17.42       6.72   10620   1 RuntimeBroker
     91   101.12      92.15      15.06    9148   1 SearchApp
     74    44.66      56.42       0.00    7756   0 SearchIndexer
      0     0.18      38.21       0.00      56   0 Secure System
     15     3.58      13.23       0.00    2680   0 SecurityHealthService
      9     1.75       8.98       0.11    1088   1 SecurityHealthSystray
     11     5.65       8.74       0.00     900   0 services
     19     4.95       7.01       2.06    9724   1 SettingSyncHost
      7     6.77       7.61       0.00    3812   0 SgrmBroker
     28    15.16      52.52       1.05    7812   1 ShellExperienceHost
     18     6.12      25.23       8.08    1472   1 sihost
      3     1.08       1.07       0.00     460   0 smss
     22     5.48      13.43       0.00    3904   0 spoolsv
     10     1.94       7.38       0.00    4380   0 sqlwriter
    821     2.68       8.27       0.28    4896   1 ssh
      7     1.48       4.89       0.00    4372   0 ssh-agent
     11     2.18       6.49       0.00    4364   0 sshd
     30    27.13      66.36       3.05    8848   1 StartMenuExperienceHost
     26    12.82      32.15       0.00     584   0 svchost
     20     4.66      19.69       0.00     688   0 svchost
