
[32;1m NPM(K)    PM(M)      WS(M)     CPU(s)      Id  SI ProcessName[0m
[32;1m ------    -----      -----     ------      --  -- -----------[0m
     42     3.01       6.80       0.00     776   1 csrss
     31    38.20      82.71      91.42    7320   1 ctfmon
     18     4.27      11.61       0.00    3176   0 dasHost
      9     2.39       6.26       0.00   15072   0 DbxSvc
      6     1.33       4.18       0.23     700   1 dptf_helper
     15     3.13      12.99       0.11    4196   1 Dropbox
     14     2.59       9.81       0.05   14180   1 Dropbox
    149   213.05     178.69      74.03   14612   1 Dropbox
     14     2.00       1.80       0.00    3084   0 DropboxUpdate
     52   104.71      80.43       0.00    1232   1 dwm
      8     1.73       6.08       0.00    4180   0 esif_uf
    161   152.46     424.60     190.59    7632   1 explorer
      9     5.44      12.24       0.00       8   1 fontdrvhost
      5     1.99       3.16       0.00     752   0 fontdrvhost
     11     1.75       1.46       0.00    9432   0 GoogleCrashHandler
     10     1.82       1.32       0.00    9676   0 GoogleCrashHandler64
      0     0.06       0.01       0.00       0   0 Idle
     10     1.70       8.42       0.00    1632   0 igfxCUIService
     15     3.57      12.98       0.69    3216   1 igfxEM
      8     1.34       6.86       0.00    1668   0 IntelCpHDCPSvc
      7     1.37       6.61       0.00    1988   0 IntelCpHeciSvc
      8     1.26       6.01       0.00    5008   0 jhi_service
     27    15.41      49.04       1.75    9772   1 LockApp
     13     4.27       9.79      11.25   10984   1 LogMeTT
      7     1.01       2.81       0.00     920   0 LsaIso
     27     8.09      21.10       0.00     928   0 lsass
      0     1.97     732.69       0.00    2940   0 Memory Compression
     44    50.68      54.06       4.56   11756   1 Microsoft.Photos
      7     1.86       6.53       0.00   12784   0 MpCopyAccelerator
     85   335.24     224.50       0.00    4396   0 MsMpEng
     14     6.09      11.95       0.00    5432   0 NisSrv
    138    50.80      49.61      19.12    5496   1 node
     46    47.11      59.66      41.17   10404   1 node
     32    41.41      39.29       0.00    4244   0 OneApp.IGCC.WinService
     47    40.98      65.46      15.39   10448   1 OneDrive
     70    51.34      90.52       5.91     416   1 pwsh
     66    48.78      57.79       4.39   13000   1 pwsh
     69    55.25     104.84       5.98   18076   1 pwsh
     29    32.62      34.44       1.22    4264   1 QtWebEngineProcess
     34    42.24      49.40       3.20   16308   1 QtWebEngineProcess
     21    12.61      40.61       0.00     108   0 Registry
     20    97.86      15.89       3.75   16244   1 ruby
     12     2.83      18.40       0.23    2424   1 RuntimeBroker
     12     2.85      18.43       0.20    4916   1 RuntimeBroker
     15     4.83      16.82       0.28    6004   1 RuntimeBroker
     23     8.46      28.53       7.42    6140   1 RuntimeBroker
     12     2.64      13.03       0.19    6920   1 RuntimeBroker
     20    13.67      35.23       4.09    8772   1 RuntimeBroker
     20     4.73      25.46       0.69    8928   1 RuntimeBroker
     18     6.55      25.40       3.97    8956   1 RuntimeBroker
     24     9.53      33.42       2.69    9844   1 RuntimeBroker
     15     4.01      17.42       6.72   10620   1 RuntimeBroker
      8     1.52       7.86       0.03   14864   1 RuntimeBroker
     91   101.12      92.15      15.06    9148   1 SearchApp
     74    44.91      56.79       0.00    7756   0 SearchIndexer
      0     0.18      38.21       0.00      56   0 Secure System
     15     3.55      13.22       0.00    2680   0 SecurityHealthService
      9     1.73       8.97       0.11    1088   1 SecurityHealthSystray
     11     5.64       8.76       0.00     900   0 services
     19     4.95       6.61       2.06    9724   1 SettingSyncHost
      7     7.77       8.09       0.00    3812   0 SgrmBroker
     28    15.16      52.52       1.05    7812   1 ShellExperienceHost
     18     6.17      25.27       8.19    1472   1 sihost
      3     1.05       1.06       0.00     460   0 smss
     22     5.38      13.41       0.00    3904   0 spoolsv
      9     1.79       7.37       0.00    4380   0 sqlwriter
    821     2.65       8.25       0.28    4896   1 ssh
      7     1.46       4.88       0.00    4372   0 ssh-agent
     10     2.15       6.47       0.00    4364   0 sshd
     30    27.14      66.39       3.05    8848   1 StartMenuExperienceHost
     26    12.89      32.21       0.00     584   0 svchost
     20     4.78      19.75       0.00     688   0 svchost
     21    10.84      16.06       0.00    1096   0 svchost
     13     2.77       9.89       0.00    1144   0 svchost
     15     3.88      10.75       0.00    1344   0 svchost
      7     1.23       4.93       0.00    1356   0 svchost
     13     1.66       6.84       0.00    1376   0 svchost
      9     1.53      10.11       0.00    1400   0 svchost
     19     2.52      10.40       0.00    1408   0 svchost
     13     2.45       9.61       0.00    1432   0 svchost
      8     1.11       5.06       0.00    1544   0 svchost
      9     2.12      11.11       0.00    1612   0 svchost
     11     2.62       7.91       0.00    1680   0 svchost
     13     2.01       6.09       0.00    1704   0 svchost
      9     1.89       6.85       0.00    1716   0 svchost
     12     2.24      10.50       0.00    1756   0 svchost
     15     2.15       9.02       0.00    1836   0 svchost
     12     2.92      11.59       0.00    1868   0 svchost
     14    14.75      14.44       0.00    1980   0 svchost
     15    10.68      17.03       0.00    2036   0 svchost
     29     7.58      10.16       0.00    2116   0 svchost
     11     2.56       7.46       0.00    2212   0 svchost
     23     8.39      33.77       2.92    2220   1 svchost
     16     5.44      12.51       0.00    2348   0 svchost
     17     6.00      14.58       0.00    2428   0 svchost
     10     1.87       9.25       0.00    2440   0 svchost
     12     3.09       8.93       0.00    2496   0 svchost
     13     5.96      12.98       0.00    2596   0 svchost
      7     1.28       5.61       0.00    2604   0 svchost
     12     3.01      13.71       0.00    2612   0 svchost
      9     1.58       6.62       0.00    2708   0 svchost
     10     2.42      11.05       0.00    2740   0 svchost
      9     1.74       7.17       0.00    2744   0 svchost
     12     3.84      11.23       0.00    2812   0 svchost
     10     2.10       9.59       0.00    2848   0 svchost
     10     2.04       7.20       0.00    2928   0 svchost
     10     2.59      10.47       0.00    3008   0 svchost
     14     3.98       8.66       0.00    3096   0 svchost
      8     1.41       6.45       0.00    3128   0 svchost
     32    16.99      21.70       0.00    3192   0 svchost
     26     4.14      13.18       0.00    3228   0 svchost
     11     1.63       6.19       0.00    3284   0 svchost
     16     3.07       9.56       0.00    3292   0 svchost
      9     1.55       6.98       0.00    3356   0 svchost
      7     1.46       5.74       0.00    3468   0 svchost
     13     2.29      10.04       0.00    3540   0 svchost
      9     8.13      15.81       0.00    3564   0 svchost
     15    10.62       9.24       0.00    3580   0 svchost
     10     1.83       7.70       0.00    3588   0 svchost
     22     6.46      17.34       0.00    3660   0 svchost
     13     2.19      11.78       0.00    3692   0 svchost
     11     2.04       7.62       0.00    3744   0 svchost
     14     2.19       8.41       0.00    3804   0 svchost
